F28FB	󲣻	ffgghxm	嗜好
F28FC	󲣼	gjfgxn	甄子
F28FD	󲣽	gjghgxn	（真理）
F28FE	󲣾	ghhghgxn	腾，挪
F28FF	󲣿	ghgkxn	虎
F2900	󲤀	fgkkgxn	顺利
F2901	󲤁	dkxz	席（子）
F2902	󲤂	fthghxn	1、续断（中药名）；2、人名用词；
F2903	󲤃	dfhxm	北
F2904	󲤄	dfgxm	糠
F2905	󲤅	fhghthxz	记，忆
F2906	󲤆	dhfxm	（灰尘）
F2907	󲤇	gthgjxn	英勇、顽强
F2908	󲤈	gjjhxn	1、铺垫；2、（凳子）；
F2909	󲤉	gyffxz	痣
F290A	󲤊	ghgkxm	（城墙）
F290B	󲤋	ghhkxn	（蚂蝗）
F290C	󲤌	gjghhhxn	们
F290D	󲤍	igophgxn	1、薅；2、除草（拔除苗间的草）；
F290E	󲤎	gghhdxc	泡（量词）
F290F	󲤏	fhgghgxn	拐骗（人）
F2910	󲤐	gkgpgxc	男子汉
F2911	󲤑	gghgthhxn	（苍蝇）
F2912	󲤒	fjdxm	隐瞒
F2913	󲤓	frjhxn	疗（疮）
F2914	󲤔	ghghiogxn	刺
F2915	󲤕	fhfhgxn	（瞄准）
F2916	󲤖	ghghgggxn	（和谐，和蔼）
F2917	󲤗	ghggiogxn	1、脏；2、臭；
F2918	󲤘	fhhgghxm	1、笛子；2、（迷信中的捉鬼）
F2919	󲤙	ghgkgxn	压
F291A	󲤚	gvffhxv	（脚趾被）碰
F291B	󲤛	gjgfhgxn	榫头
F291C	󲤜	gkmfxn	青年
F291D	󲤝	ghfdxv	出（事故）
F291E	󲤞	fpghghxm	秋
F291F	󲤟	fhhjhxn	折叠
F2920	󲤠	gpghpghxc	难
F2921	󲤡	fjdfxb	快
F2922	󲤢	gphhghhxn	敏捷
F2923	󲤣	gjthghxn	1、酸痛；2、疾病（泛指）
F2924	󲤤	gtfffxn	（灭）绝
F2925	󲤥	ggpkhxn	（重叠词缀）
F2926	󲤦	gjgthhxn	（芭蕉、香蕉）
F2927	󲤧	hgffhxm	（植物的）嫩颠（尖）
F2928	󲤨	fjjkxn	1、雨；2、冰雹；3、名词用词；
F2929	󲤩	ghghffxn	屁
F292A	󲤪	dhdhxm	（点）燃
F292B	󲤫	fhghdxm	甜
F292C	󲤬	ggkggxz	一绺（liu）线
F292D	󲤭	ghgghgghxm	传承
F292E	󲤮	gjgthghxn	（拳头）
F292F	󲤯	dddxz	祭祀
F2930	󲤰	gjddxc	荫
F2931	󲤱	ghghtghthxm	封，包（量词）
F2932	󲤲	fjgfjxn	1、烧；2、焚（尸），火葬；
F2933	󲤳	gjfgdxc	嗫（嚅）（nieru）
F2934	󲤴	ghtfdggxn	1、（布谷鸟）；2、（小杜鹃花）
F2935	󲤵	hxz	一（数词）
F2936	󲤶	hzxn	弹
F2937	󲤷	hlxv	苔
F2938	󲤸	hfxv	（抛弃）
F2939	󲤹	hgxn	眨（眼）
F293A	󲤺	hhxz	十（数词）
F293B	󲤻	hhxz	滴（水）
F293C	󲤼	hexv	（心胸）
F293D	󲤽	hdxv	取（蜂蜜）
F293E	󲤾	hjxz	病，痛
F293F	󲤿	hoxz	立即
F2940	󲥀	hyxz	越过
F2941	󲥁	hsxz	（德行）
F2942	󲥂	hyxv	星
F2943	󲥃	hhxz	把（量词）
F2944	󲥄	hgxv	二（量词）
F2945	󲥅	hzxn	皱
F2946	󲥆	hkxz	牢固
F2947	󲥇	hvxn	害
F2948	󲥈	hjxn	说
F2949	󲥉	hfxz	核
F294A	󲥊	hvxv	耽搁
F294B	󲥋	hvhxn	（稀烂）
F294C	󲥌	hhhxz	帮（助）
F294D	󲥍	hhjxn	（量词）根、头、个、条、只
F294E	󲥎	hgdxn	绘画
F294F	󲥏	hghxz	（昨晚）
F2950	󲥐	hghxn	俯卧
F2951	󲥑	huhxz	尸（体）
F2952	󲥒	hggxz	朝，向
F2953	󲥓	hhhxz	东
F2954	󲥔	hhhxc	1、干（燥）；2、穷（困）；
F2955	󲥕	hghxn	磨（动词）
F2956	󲥖	hyuxn	安心
F2957	󲥗	hhhxz	1、顽皮，俏皮；2、开玩笑；
F2958	󲥘	hphxz	挑拨
F2959	󲥙	hhpxn	祖禄
F295A	󲥚		重字
F295B	󲥛	hfxn	侧（身）
F295C	󲥜	ghhxz	1、骑（动词）；2、骑（量词）；
F295D	󲥝	hghxz	纠缠
F295E	󲥞	hggxv	认真
F295F	󲥟	hggxn	1、肝；2、（生血菜）
F2960	󲥠	hthxv	（象声词）
F2961	󲥡	hygxv	1、书；2、字；3、书信；
F2962	󲥢	hfxv	三（数词）
F2963	󲥣	ghhxz	1、柱子；2、极；
F2964	󲥤	hhgxv	1、拼（力）；2、咬；
F2965	󲥥	hgjxn	栽，种植
